idx,rmse,absrel,delta1,delta2,delta3
25,4.193348003739822,0.08012846857309341,0.9416826367378235,0.954429566860199,0.9817718267440796
26,4.700277588134298,0.08810850232839584,0.9098930954933167,0.9555481672286987,0.9738636612892151
27,6.298574365043444,0.23722100257873535,0.7914758920669556,0.8692497611045837,0.9164494872093201
28,3.2676294919004953,0.054618969559669495,0.9683756828308105,0.9846670031547546,0.9943870902061462
29,3.6420598292875233,0.11403297632932663,0.8478553891181946,0.9348529577255249,0.9809144735336304
30,5.521675573438344,0.09550315886735916,0.9132156372070312,0.9428849220275879,0.9747081398963928
31,1.382615457925201,0.039224863052368164,0.9826765656471252,0.9968923926353455,0.9998016357421875
32,2.449877490659131,0.06290168315172195,0.9316555857658386,0.9776954054832458,0.9966185688972473
33,2.6925833775778867,0.07243894785642624,0.9317731857299805,0.977857768535614,0.9929792881011963
34,2.990120036544817,0.045026350766420364,0.9736268520355225,0.985754668712616,0.9957007765769958
35,4.805876893243593,0.09536117315292358,0.9055472612380981,0.9387263655662537,0.9629750847816467
36,4.621815590415377,0.09115900844335556,0.9104957580566406,0.9480360150337219,0.971088171005249
37,2.4786936738832765,0.059980932623147964,0.9415942430496216,0.9892480373382568,0.9974116086959839
38,4.982935012837624,0.09373296797275543,0.9274986386299133,0.9601348042488098,0.980277955532074
39,3.3563778304152425,0.05492756888270378,0.9548977613449097,0.9693125486373901,0.986289918422699
40,4.903395289987648,0.09598616510629654,0.9234665036201477,0.9592008590698242,0.9772791266441345
41,6.857060834984456,0.21586741507053375,0.6482818722724915,0.7808765172958374,0.8593127727508545
42,3.5700182636979894,0.07563295215368271,0.9349234104156494,0.9667884707450867,0.9828813076019287
43,5.839343036121946,0.15333613753318787,0.866995096206665,0.9240087270736694,0.9559072852134705
44,2.7083162062665838,0.09399305284023285,0.8997233510017395,0.9563902616500854,0.9902874827384949
45,5.431391825870943,0.08485289663076401,0.9043266177177429,0.9607285857200623,0.9830049276351929
46,5.247933480585514,0.07841906696557999,0.9286965131759644,0.9579179883003235,0.9710829257965088
47,4.227730242450396,0.05837008357048035,0.961330235004425,0.9862394332885742,0.9939479231834412
48,2.3696591406574936,0.04003961384296417,0.982852578163147,0.9973843097686768,0.998910129070282
49,3.1873750849163955,0.0762079656124115,0.9527526497840881,0.9824858903884888,0.994229793548584
50,3.3535618365063695,0.05949097499251366,0.9590047001838684,0.974662184715271,0.9898648858070374
51,3.3282658363595337,0.049648430198431015,0.9624841809272766,0.9837409257888794,0.9934697151184082
52,3.1502192829645557,0.0639762356877327,0.9610149264335632,0.9779511094093323,0.9888157844543457
53,4.494601932674698,0.10538370162248611,0.8889652490615845,0.920296847820282,0.9630342125892639
54,3.817067021745693,0.060580261051654816,0.9461919665336609,0.9805572628974915,0.993869960308075
55,4.6102219660150565,0.13818755745887756,0.8862088322639465,0.9389684200286865,0.963019609451294
56,9.084093767818533,0.1681479513645172,0.7439241409301758,0.7915149331092834,0.9186213612556458
57,2.6373728753138344,0.05962730199098587,0.9554228782653809,0.9840484261512756,0.9941001534461975
58,2.8910134544204626,0.1024736538529396,0.8788806796073914,0.945329487323761,0.9828431010246277
59,3.159618129110187,0.09441351890563965,0.8873810768127441,0.9718103408813477,0.9925853610038757
60,5.548173951120723,0.12078884243965149,0.8784164786338806,0.9213768839836121,0.9647504091262817
61,4.8862152206108265,0.12264063954353333,0.9056064486503601,0.9338660836219788,0.9677775502204895
62,4.07138685812173,0.1740460991859436,0.8148360252380371,0.9291253685951233,0.9654207825660706
63,4.57742856297567,0.09320542216300964,0.9130080938339233,0.9467479586601257,0.9783197641372681
64,4.705660215913061,0.07369020581245422,0.9563194513320923,0.9736365675926208,0.9844921231269836
65,2.6073578673089304,0.06406353414058685,0.9455769062042236,0.9793521761894226,0.9941948652267456
66,3.9869618115420087,0.07675717025995255,0.9180021286010742,0.9606859683990479,0.9916130304336548
67,1.660254405990749,0.08844790607690811,0.898183286190033,0.9606042504310608,0.9786384701728821
68,4.237974769304753,0.08902724832296371,0.8882886171340942,0.9519807696342468,0.9858609437942505
69,3.0715168151345513,0.05626025050878525,0.9619952440261841,0.9805784225463867,0.9946206212043762
70,4.69779224893568,0.10137681663036346,0.9005380272865295,0.9461183547973633,0.9686394929885864
71,3.586341319897644,0.11304265260696411,0.8809885382652283,0.9422200918197632,0.968383252620697
72,2.725505197573604,0.06665641814470291,0.9434023499488831,0.9834333062171936,0.9931670427322388
73,3.7432370555676546,0.1499287486076355,0.829039990901947,0.928879976272583,0.9719199538230896
74,2.450842506195235,0.0661519318819046,0.945183515548706,0.9863758087158203,0.9968017935752869
75,1.6749970706515531,0.06436307728290558,0.9627349376678467,0.9932072162628174,0.9993016719818115
76,1.7800437456820402,0.055475588887929916,0.9787260293960571,0.993073582649231,0.9983302354812622
77,3.1230737471483048,0.06884180754423141,0.9227269887924194,0.9615358114242554,0.9957951307296753
78,4.254989612176679,0.10814863443374634,0.9125460982322693,0.9464218020439148,0.9760391712188721
79,3.6967850507303925,0.12091444432735443,0.8861412405967712,0.9390161633491516,0.9731268882751465
80,2.9075244037263315,0.0815124660730362,0.9232073426246643,0.9772064089775085,0.9937589168548584
